state_id,year_id,metric_id,value
2,1,4,3068572.0
7,1,4,1772359.0
4,1,4,1887381.0
8,1,4,997816.0
5,1,4,580575.0
6,1,4,170287.0
1,1,4,153713.0
3,1,4,177654.0
2,1,2,371.64432269
7,1,2,263.09864207
4,1,2,365.4726637
8,1,2,366.78297245
5,1,2,319.17095578
6,1,2,304.0248138
1,1,2,346.04428404
3,1,2,738.79398685
2,2,4,3012992.0
7,2,4,1856312.0
4,2,4,1867860.0
8,2,4,991522.0
5,2,4,572886.0
6,2,4,173276.0
1,2,4,143693.0
3,2,4,171336.0
2,2,2,365.61964768
7,2,2,279.63263253
4,2,2,359.25656667
8,2,2,360.6314205
5,2,2,313.20563131
6,2,2,305.2553611
1,2,2,317.40308574
3,2,2,707.79031623
2,3,4,3076083.0
7,3,4,1894732.0
4,3,4,1735935.0
8,3,4,994112.0
5,3,4,598666.0
6,3,4,173888.0
1,3,4,145718.0
3,3,4,181785.0
2,3,2,367.62231577
7,3,2,282.0061821
4,3,2,325.67284912
8,3,2,354.83567403
5,3,2,323.44892359
6,3,2,303.01081935
1,3,2,316.85396552
3,3,2,737.25743861
2,4,4,3178428.0
7,4,4,1923674.0
4,4,4,1770087.0
8,4,4,1022259.0
5,4,4,605725.0
6,4,4,177639.0
1,4,4,156029.0
3,4,4,184560.0
2,4,2,370.94358067
7,4,2,277.31715341
4,4,2,322.16988485
8,4,2,351.59559445
5,4,2,319.63030515
6,4,2,306.87560959
1,4,2,332.36315216
3,4,2,735.57566109
2,5,4,3160473.0
7,5,4,1978267.0
4,5,4,1766839.0
8,5,4,1027017.0
5,5,4,622876.0
6,5,4,183120.0
1,5,4,167603.0
3,5,4,188117.0
2,5,2,361.50445892
7,5,2,278.67500057
4,5,2,313.08507996
8,5,2,342.75388175
5,5,2,323.68477041
6,5,2,314.22101749
1,5,2,350.82214714
3,5,2,739.51156067
2,1,3,14.0
2,1,1,81.0
2,1,5,79.1574
7,1,3,20.0
7,1,1,106.0
7,1,5,67.8197
4,1,3,15.0
4,1,1,80.0
4,1,5,73.5967
8,1,3,31.0
8,1,1,139.0
8,1,5,58.4141
5,1,3,22.0
5,1,1,140.0
5,1,5,60.7761
6,1,3,30.0
6,1,1,127.0
6,1,5,58.4246
1,1,3,48.0
1,1,1,181.0
1,1,5,47.875
3,1,3,27.0
3,1,1,117.0
3,1,5,60.9322
2,2,3,14.0
2,2,1,89.0
2,2,5,77.0933
7,2,3,22.0
7,2,1,118.0
7,2,5,63.3933
4,2,3,18.0
4,2,1,93.0
4,2,5,68.3362
8,2,3,40.0
8,2,1,170.0
8,2,5,50.2515
5,2,3,26.0
5,2,1,165.0
5,2,5,55.2778
6,2,3,31.0
6,2,1,143.0
6,2,5,53.4351
1,2,3,47.0
1,2,1,203.0
1,2,5,48.2545
3,2,3,29.0
3,2,1,134.0
3,2,5,57.173
2,3,3,15.0
2,3,1,100.0
2,3,5,74.023
7,3,3,20.0
7,3,1,114.0
7,3,5,65.1377
4,3,3,18.0
4,3,1,91.0
4,3,5,67.1271
8,3,3,41.0
8,3,1,191.0
8,3,5,48.4571
5,3,3,32.0
5,3,1,212.0
5,3,5,49.7839
6,3,3,30.0
6,3,1,143.0
6,3,5,52.2968
1,3,3,36.0
1,3,1,191.0
1,3,5,50.9122
3,3,3,38.0
3,3,1,161.0
3,3,5,49.983
2,4,3,15.0
2,4,1,98.0
2,4,5,74.3605
7,4,3,16.0
7,4,1,94.0
7,4,5,71.009
4,4,3,16.0
4,4,1,84.0
4,4,5,70.0028
8,4,3,42.0
8,4,1,194.0
8,4,5,48.014
5,4,3,33.0
5,4,1,197.0
5,4,5,49.0873
6,4,3,31.0
6,4,1,149.0
6,4,5,50.9783
1,4,3,25.0
1,4,1,124.0
1,4,5,61.6651
3,4,3,42.0
3,4,1,187.0
3,4,5,47.3225
2,5,3,15.0
2,5,1,104.0
2,5,5,73.2518
7,5,3,15.0
7,5,1,91.0
7,5,5,71.5328
4,5,3,15.0
4,5,1,78.0
4,5,5,72.4388
8,5,3,44.0
8,5,1,229.0
8,5,5,45.5782
5,5,3,29.0
5,5,1,160.0
5,5,5,53.4049
6,5,3,35.0
6,5,1,179.0
6,5,5,46.0197
1,5,3,25.0
1,5,1,106.0
1,5,5,61.6724
3,5,3,37.0
3,5,1,176.0
3,5,5,48.188
