state_id,urgency_id,metric_id,value
2,1,1,52066.0
2,2,1,90168.0
2,3,1,90615.0
2,1,6,22.3604
2,2,6,38.7238
2,3,6,38.9158
7,1,1,73516.0
7,2,1,89984.0
7,3,1,48461.0
7,1,6,34.6837
7,2,6,42.4531
7,3,6,22.8632
4,1,1,61806.0
4,2,1,57371.0
4,3,1,30018.0
4,1,6,41.4263
4,2,6,38.4537
4,3,6,20.12
8,1,1,28208.0
8,2,1,30495.0
8,3,1,30911.0
8,1,6,31.4772
8,2,6,34.0293
8,3,6,34.4935
5,1,1,20150.0
5,2,1,24473.0
5,3,1,16796.0
5,1,6,32.8074
5,2,6,39.846
5,3,6,27.3466
6,1,1,9858.0
6,2,1,7981.0
6,3,1,4680.0
6,1,6,43.7764
6,2,6,35.4412
6,3,6,20.7825
1,1,1,6926.0
1,2,1,5149.0
1,3,1,4490.0
1,1,6,41.811
1,2,6,31.0836
1,3,6,27.1053
3,1,1,2729.0
3,2,1,2526.0
3,3,1,1151.0
3,1,6,42.6007
3,2,6,39.4318
3,3,6,17.9675
