state_id,year_id,metric_id,value
1,1,1,15348.0
1,2,1,14033.0
1,3,1,12640.0
1,4,1,14979.0
1,6,1,16565.0
1,1,2,34.4974073
1,2,2,31.011606425
1,3,2,27.403081112
1,4,2,31.779607078
1,6,2,34.615706106
2,1,1,251001.0
2,2,1,182808.0
2,3,1,225749.0
2,4,1,231804.0
2,6,1,232849.0
2,1,2,30.947240713
2,2,2,22.577077957
2,3,2,27.590600846
2,4,2,27.739739675
2,6,2,27.416772048
3,1,1,7746.0
3,2,1,6712.0
3,3,1,7170.0
3,4,1,6915.0
3,6,1,6406.0
3,1,2,31.306076919
3,2,2,27.048047358
3,3,2,28.328723825
3,4,2,26.853534647
3,6,2,24.5591167
4,1,1,148272.0
4,2,1,127599.0
4,3,1,140977.0
4,4,1,149420.0
4,6,1,149195.0
4,1,2,28.703660146
4,2,2,24.463870836
4,3,2,26.54481675
4,4,2,27.415331632
4,6,2,26.77788116
5,1,1,57355.0
5,2,1,52742.0
5,3,1,55900.0
5,4,1,56484.0
5,6,1,61419.0
5,1,2,32.035546023
5,2,2,29.258832099
5,3,2,30.630657288
5,4,2,30.406223791
5,6,2,32.624371153
6,1,1,18313.0
6,2,1,20314.0
6,3,1,21364.0
6,4,1,22196.0
6,6,1,22519.0
6,1,2,32.843835302
6,2,2,35.812065108
6,3,2,37.330071641
6,4,2,38.687119922
6,6,2,39.178536446
7,1,1,164155.0
7,2,1,147792.0
7,3,1,190867.0
7,4,1,210677.0
7,6,1,211961.0
7,1,2,24.815398109
7,2,2,22.571169467
7,3,2,28.852653996
7,4,2,30.994815636
7,6,2,30.483783239
8,1,1,92410.0
8,2,1,70988.0
8,3,1,80793.0
8,4,1,85991.0
8,6,1,89614.0
8,1,2,34.063028952
8,2,2,25.819780204
8,3,2,28.917290101
8,4,2,29.745037593
8,6,2,30.099184157
