specialty_id,year_id,value
1,1,10993.0
8,1,58776.0
2,1,154677.0
3,1,90169.0
4,1,12757.0
5,1,100653.0
6,1,108361.0
10,1,58350.0
11,1,114820.0
12,1,17471.0
9,1,8906.0
7,1,18667.0
1,2,9834.0
8,2,44894.0
2,2,127733.0
3,2,75625.0
4,2,10513.0
5,2,81904.0
6,2,83198.0
10,2,53067.0
11,2,96644.0
12,2,15252.0
9,2,8136.0
7,2,16188.0
1,3,11063.0
8,3,56934.0
2,3,149234.0
3,3,87021.0
4,3,12531.0
5,3,102122.0
6,3,101442.0
10,3,62161.0
11,3,107339.0
12,3,16885.0
9,3,10205.0
7,3,18523.0
1,4,11710.0
8,4,61720.0
2,4,155124.0
3,4,90442.0
4,4,13559.0
5,4,111231.0
6,4,105495.0
10,4,65807.0
11,4,113979.0
12,4,19218.0
9,4,10458.0
7,4,19723.0
1,5,12022.0
8,5,60031.0
2,5,155126.0
3,5,94148.0
4,5,12867.0
5,5,117596.0
6,5,103750.0
10,5,67252.0
11,5,116931.0
12,5,18750.0
9,5,10504.0
7,5,21551.0
