state_id,year_id,metric_id,value
1,1,3,49.0
1,2,3,43.0
1,3,3,49.0
1,4,3,50.0
1,5,3,54.0
1,1,4,353.0
1,2,4,281.0
1,3,4,328.0
1,4,4,351.0
1,5,4,352.0
1,1,5,8.8741
1,2,5,5.7507
1,3,5,8.0617
1,4,5,8.9459
1,5,5,9.3933
2,1,3,68.0
2,2,3,55.0
2,3,3,69.0
2,4,3,65.0
2,5,3,69.0
2,1,4,375.0
2,2,4,363.0
2,3,4,400.0
2,4,4,356.0
2,5,4,363.0
2,1,5,11.3681
2,2,5,9.5652
2,3,5,12.995
2,4,5,7.8295
2,5,5,9.1772
3,1,3,32.0
3,2,3,30.0
3,3,3,29.0
3,4,3,36.0
3,5,3,41.0
3,1,4,276.0
3,2,4,288.0
3,3,4,321.0
3,4,4,334.0
3,5,4,328.0
3,1,5,6.7261
3,2,5,7.2408
3,3,5,8.8285
3,4,5,8.4888
3,5,5,8.1642
4,1,3,42.0
4,2,3,36.0
4,3,3,40.0
4,4,3,40.0
4,5,3,42.0
4,1,4,310.0
4,2,4,268.0
4,3,4,307.0
4,4,4,262.0
4,5,4,273.0
4,1,5,3.6325
4,2,5,3.2547
4,3,5,5.962
4,4,5,3.8656
4,5,5,3.4351
5,1,3,50.0
5,2,3,48.0
5,3,3,49.0
5,4,3,47.0
5,5,3,52.0
5,1,4,351.0
5,2,4,339.0
5,3,4,335.0
5,4,4,300.0
5,5,4,317.0
5,1,5,7.6802
5,2,5,6.1791
5,3,5,6.6959
5,4,5,5.1023
5,5,5,6.0128
6,1,3,65.0
6,2,3,62.0
6,3,3,53.0
6,4,3,48.0
6,5,3,49.0
6,1,4,588.0
6,2,4,413.0
6,3,4,358.0
6,4,4,284.0
6,5,4,257.0
6,1,5,19.2541
6,2,5,12.041
6,3,5,9.6424
6,4,5,6.2984
6,5,5,5.018
7,1,3,28.0
7,2,3,25.0
7,3,3,36.0
7,4,3,33.0
7,5,3,28.0
7,1,4,266.0
7,2,4,254.0
7,3,4,357.0
7,4,4,281.0
7,5,4,205.0
7,1,5,5.2584
7,2,5,4.6931
7,3,5,9.5821
7,4,5,6.9068
7,5,5,4.2253
8,1,3,46.0
8,2,3,43.0
8,3,3,51.0
8,4,3,47.0
8,5,3,45.0
8,1,4,279.0
8,2,4,276.0
8,3,4,344.0
8,4,4,276.0
8,5,4,267.0
8,1,5,5.1769
8,2,5,4.929
8,3,5,8.5416
8,4,5,5.8087
8,5,5,5.2838
