expenditure_area_id,expenditure_area
1,   Administration
2,   Aids and appliances
3,   All other medications
4,   Benefit-paid pharmaceuticals
5,   Community health and other
6,   Dental services
7,   Other health practitioners
8,   Patient transport services
9,   Private hospitals
10,   Public health
11,   Public hospital services
12,   Unreferred medical services
13,Capital
14,Capital expenditure
15,Hospitals
16,Medical expenses tax rebate
17,Other services
18,Primary health care
19,Referred medical services
20,Research
