expenditure_area_id,funding_source_id,spending
15,2,1153
11,2,445
9,2,708
18,2,860
12,2,134
6,2,96
7,2,279
5,2,11
10,2,. .
4,2,340
3,2,. .
19,2,713
17,2,456
8,2,126
2,2,157
1,2,173
20,2,5
14,2,. .
16,2,. .
15,4,36221
11,4,32368
9,4,3854
18,4,35851
12,4,11316
6,4,500
7,4,2505
5,4,2118
10,4,3370
4,4,14221
3,4,1822
19,4,14807
17,4,3171
8,4,115
2,4,816
1,4,2239
20,4,5896
14,4,137
16,4,—
15,8,3794
11,8,328
9,8,3466
18,8,1227
12,8,. .
6,8,860
7,8,340
5,8,1
10,8,. .
4,8,. .
3,8,26
19,8,657
17,8,1246
8,8,121
2,8,283
1,8,842
20,8,. .
14,8,. .
16,8,. .
15,9,53146
11,9,52665
9,9,481
18,9,13637
12,9,. .
6,9,1058
7,9,16
5,9,10747
10,9,1816
4,9,. .
3,9,. .
19,9,. .
17,9,7004
8,9,5080
2,9,. .
1,9,1924
20,9,1176
14,9,7004
16,9,. .
15,3,11497
11,3,994
9,3,10503
18,3,3717
12,3,. .
6,3,2606
7,3,1030
5,3,2
10,3,. .
4,3,. .
3,3,78
19,3,1991
17,3,3776
8,3,368
2,3,858
1,3,2551
20,3,. .
14,3,. .
16,3,. .
15,5,3876
11,5,1464
9,5,2412
18,5,30680
12,5,1672
6,5,7986
7,5,3542
5,5,90
10,5,28
4,5,1601
3,5,15762
19,5,5459
17,5,4032
8,5,558
2,5,3458
1,5,15
20,5,2
14,5,. .
16,5,—
15,7,4147
11,7,2536
9,7,1612
18,7,3164
12,7,1490
6,7,59
7,7,926
5,7,461
10,7,110
4,7,. .
3,7,119
19,7,. .
17,7,350
8,7,161
2,7,185
1,7,4
20,7,563
14,7,9068
16,7,. .
