sex,age_group,state,value
Males,0–4,NSW,171812.0
Males,5–14,NSW,164802.0
Males,15–24,NSW,172904.0
Males,25–34,NSW,177347.0
Males,35–44,NSW,166763.0
Males,45–54,NSW,159327.0
Males,55–64,NSW,164543.0
Males,65–74,NSW,163999.0
Males,75–84,NSW,156959.0
Males,85–89,NSW,51758.0
Males,90–94,NSW,24227.0
Males,95+,NSW,6995.0
Females,0–4,NSW,135693.0
Females,5–14,NSW,129007.0
Females,15–24,NSW,197927.0
Females,25–34,NSW,218454.0
Females,35–44,NSW,176486.0
Females,45–54,NSW,153238.0
Females,55–64,NSW,150775.0
Females,65–74,NSW,153646.0
Females,75–84,NSW,157027.0
Females,85–89,NSW,60018.0
Females,90–94,NSW,33330.0
Females,95+,NSW,12653.0
Males,0–4,Vic,109668.0
Males,5–14,Vic,99439.0
Males,15–24,Vic,98275.0
Males,25–34,Vic,111657.0
Males,35–44,Vic,109923.0
Males,45–54,Vic,100886.0
Males,55–64,Vic,100489.0
Males,65–74,Vic,94719.0
Males,75–84,Vic,88329.0
Males,85–89,Vic,28916.0
Males,90–94,Vic,13566.0
Males,95+,Vic,3819.0
Females,0–4,Vic,84380.0
Females,5–14,Vic,78929.0
Females,15–24,Vic,121112.0
Females,25–34,Vic,168831.0
Females,35–44,Vic,132491.0
Females,45–54,Vic,98931.0
Females,55–64,Vic,94288.0
Females,65–74,Vic,90468.0
Females,75–84,Vic,90180.0
Females,85–89,Vic,33920.0
Females,90–94,Vic,18118.0
Females,95+,Vic,6251.0
Males,0–4,Qld,97787.0
Males,5–14,Qld,87764.0
Males,15–24,Qld,99673.0
Males,25–34,Qld,100864.0
Males,35–44,Qld,98075.0
Males,45–54,Qld,93622.0
Males,55–64,Qld,90089.0
Males,65–74,Qld,84622.0
Males,75–84,Qld,79026.0
Males,85–89,Qld,23556.0
Males,90–94,Qld,11067.0
Males,95+,Qld,3040.0
Females,0–4,Qld,77293.0
Females,5–14,Qld,73375.0
Females,15–24,Qld,127897.0
Females,25–34,Qld,133629.0
Females,35–44,Qld,105982.0
Females,45–54,Qld,92184.0
Females,55–64,Qld,82476.0
Females,65–74,Qld,77875.0
Females,75–84,Qld,77693.0
Females,85–89,Qld,27624.0
Females,90–94,Qld,15054.0
Females,95+,Qld,5629.0
Males,0–4,WA,59532.0
Males,5–14,WA,59263.0
Males,15–24,WA,54545.0
Males,25–34,WA,60249.0
Males,35–44,WA,59852.0
Males,45–54,WA,52185.0
Males,55–64,WA,50121.0
Males,65–74,WA,46059.0
Males,75–84,WA,41249.0
Males,85–89,WA,13097.0
Males,90–94,WA,6046.0
Males,95+,WA,1614.0
Females,0–4,WA,47198.0
Females,5–14,WA,49113.0
Females,15–24,WA,69197.0
Females,25–34,WA,81078.0
Females,35–44,WA,68082.0
Females,45–54,WA,52610.0
Females,55–64,WA,47014.0
Females,65–74,WA,43025.0
Females,75–84,WA,40117.0
Females,85–89,WA,14600.0
Females,90–94,WA,8145.0
Females,95+,WA,2816.0
Males,0–4,SA,34951.0
Males,5–14,SA,31117.0
Males,15–24,SA,30243.0
Males,25–34,SA,32428.0
Males,35–44,SA,32285.0
Males,45–54,SA,30353.0
Males,55–64,SA,32161.0
Males,65–74,SA,31353.0
Males,75–84,SA,29849.0
Males,85–89,SA,10314.0
Males,90–94,SA,5391.0
Males,95+,SA,1712.0
Females,0–4,SA,27166.0
Females,5–14,SA,26246.0
Females,15–24,SA,40629.0
Females,25–34,SA,46133.0
Females,35–44,SA,35406.0
Females,45–54,SA,30085.0
Females,55–64,SA,30500.0
Females,65–74,SA,30274.0
Females,75–84,SA,31387.0
Females,85–89,SA,12599.0
Females,90–94,SA,7257.0
Females,95+,SA,2906.0
Males,0–4,Tas,7716.0
Males,5–14,Tas,7955.0
Males,15–24,Tas,9877.0
Males,25–34,Tas,10262.0
Males,35–44,Tas,9435.0
Males,45–54,Tas,8960.0
Males,55–64,Tas,10077.0
Males,65–74,Tas,10200.0
Males,75–84,Tas,9607.0
Males,85–89,Tas,2856.0
Males,90–94,Tas,1216.0
Males,95+,Tas,236.0
Females,0–4,Tas,6321.0
Females,5–14,Tas,6824.0
Females,15–24,Tas,13216.0
Females,25–34,Tas,13780.0
Females,35–44,Tas,10906.0
Females,45–54,Tas,9539.0
Females,55–64,Tas,9536.0
Females,65–74,Tas,9481.0
Females,75–84,Tas,9588.0
Females,85–89,Tas,3255.0
Females,90–94,Tas,1681.0
Females,95+,Tas,515.0
Males,0–4,ACT,9345.0
Males,5–14,ACT,8813.0
Males,15–24,ACT,9355.0
Males,25–34,ACT,9409.0
Males,35–44,ACT,9683.0
Males,45–54,ACT,8528.0
Males,55–64,ACT,7086.0
Males,65–74,ACT,7079.0
Males,75–84,ACT,6716.0
Males,85–89,ACT,2160.0
Males,90–94,ACT,991.0
Males,95+,ACT,267.0
Females,0–4,ACT,7575.0
Females,5–14,ACT,7197.0
Females,15–24,ACT,12056.0
Females,25–34,ACT,14681.0
Females,35–44,ACT,11939.0
Females,45–54,ACT,8491.0
Females,55–64,ACT,7228.0
Females,65–74,ACT,6967.0
Females,75–84,ACT,7265.0
Females,85–89,ACT,2589.0
Females,90–94,ACT,1431.0
Females,95+,ACT,510.0
Males,0–4,NT,9260.0
Males,5–14,NT,8001.0
Males,15–24,NT,9652.0
Males,25–34,NT,12547.0
Males,35–44,NT,13075.0
Males,45–54,NT,12410.0
Males,55–64,NT,11782.0
Males,65–74,NT,7236.0
Males,75–84,NT,4192.0
Males,85–89,NT,715.0
Males,90–94,NT,225.0
Males,95+,NT,52.0
Females,0–4,NT,7371.0
Females,5–14,NT,7242.0
Females,15–24,NT,12610.0
Females,25–34,NT,17684.0
Females,35–44,NT,17640.0
Females,45–54,NT,15189.0
Females,55–64,NT,10236.0
Females,65–74,NT,6245.0
Females,75–84,NT,3480.0
Females,85–89,NT,855.0
Females,90–94,NT,257.0
Females,95+,NT,75.0
