principal_diagnosis,state,value
A00–B99  Certain infectious and parasitic diseases,NSW,125772.0
C00–D48  Neoplasms,NSW,9216.0
D50–D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NSW,14781.0
"E00–E90  Endocrine, nutritional and metabolic diseases",NSW,30455.0
F00–F99  Mental and behavioural disorders,NSW,94534.0
G00–G99  Diseases of the nervous system,NSW,34810.0
H00–H59  Diseases of the eye and adnexa,NSW,47846.0
H60–H95  Diseases of the ear and mastoid process,NSW,41238.0
I00–I99  Diseases of the circulatory system,NSW,114651.0
J00–J99  Diseases of the respiratory system,NSW,233348.0
K00–K93  Diseases of the digestive system,NSW,164322.0
L00–L99  Diseases of the skin and subcutaneous tissue,NSW,109661.0
M00–M99  Diseases of the musculoskeletal system and connective tissue,NSW,190564.0
N00–N99  Diseases of the genitourinary system,NSW,130170.0
"O00–O99  Pregnancy, childbirth and the puerperium",NSW,23751.0
P00–P96  Certain conditions originating in the perinatal period,NSW,1922.0
"Q00–Q99  Congenital malformations, deformations and chromosomal abnormalities",NSW,631.0
"R00–R99  Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",NSW,984517.0
"S00–T98  Injury, poisoning and certain other consequences of external causes",NSW,675841.0
"U07.1, U07.2, and U07.7  Emergency use of codes U07.1, U07.2 and U07.7",NSW,14491.0
U50–Y98  External causes of morbidity and mortality,NSW,0.0
Z00–Z99  Factors influencing health status and contact with health services,NSW,78749.0
Not stated/invalid,NSW,39203.0
A00–B99  Certain infectious and parasitic diseases,Vic,88147.0
C00–D48  Neoplasms,Vic,5641.0
D50–D89  Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vic,10647.0
"E00–E90  Endocrine, nutritional and metabolic diseases",Vic,21567.0
F00–F99  Mental and behavioural disorders,Vic,68740.0
G00–G99  Diseases of the nervous system,Vic,38683.0
H00–H59  Diseases of the eye and adnexa,Vic,33094.0
H60–H95  Diseases of the ear and mastoid process,Vic,28037.0
I00–I99  Diseases of the circulatory system,Vic,79147.0
J00–J99  Diseases of the respiratory system,Vic,131331.0
K00–K93  Diseases of the digestive system,Vic,101007.0
L00–L99  Diseases of the skin and subcutaneous tissue,Vic,59467.0
M00–M99  Diseases of the musculoskeletal system and connective tissue,Vic,107197.0
N00–N99  Diseases of the genitourinary system,Vic,80953.0
"O00–O99  Pregnancy, childbirth and the puerperium",Vic,44833.0
P00–P96  Certain conditions originating in the perinatal period,Vic,4805.0
"Q00–Q99  Congenital malformations, deformations and chromosomal abnormalities",Vic,204.0
"R00–R99  Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Vic,527275.0
"S00–T98  Injury, poisoning and certain other consequences of external causes",Vic,421189.0
