state,metric,year,value
ACT,Days waited at the 50th percentile,2020–21,49.0
ACT,Days waited at the 50th percentile,2021–22,43.0
ACT,Days waited at the 50th percentile,2022–23,49.0
ACT,Days waited at the 50th percentile,2023–24,50.0
ACT,Days waited at the 50th percentile,2024–25,54.0
ACT,Days waited at the 90th percentile,2020–21,353.0
ACT,Days waited at the 90th percentile,2021–22,281.0
ACT,Days waited at the 90th percentile,2022–23,328.0
ACT,Days waited at the 90th percentile,2023–24,351.0
ACT,Days waited at the 90th percentile,2024–25,352.0
ACT,Percentage waited more than 365 days,2020–21,8.8741
ACT,Percentage waited more than 365 days,2021–22,5.7507
ACT,Percentage waited more than 365 days,2022–23,8.0617
ACT,Percentage waited more than 365 days,2023–24,8.9459
ACT,Percentage waited more than 365 days,2024–25,9.3933
NSW,Days waited at the 50th percentile,2020–21,68.0
NSW,Days waited at the 50th percentile,2021–22,55.0
NSW,Days waited at the 50th percentile,2022–23,69.0
NSW,Days waited at the 50th percentile,2023–24,65.0
NSW,Days waited at the 50th percentile,2024–25,69.0
NSW,Days waited at the 90th percentile,2020–21,375.0
NSW,Days waited at the 90th percentile,2021–22,363.0
NSW,Days waited at the 90th percentile,2022–23,400.0
NSW,Days waited at the 90th percentile,2023–24,356.0
NSW,Days waited at the 90th percentile,2024–25,363.0
NSW,Percentage waited more than 365 days,2020–21,11.3681
NSW,Percentage waited more than 365 days,2021–22,9.5652
NSW,Percentage waited more than 365 days,2022–23,12.995
NSW,Percentage waited more than 365 days,2023–24,7.8295
NSW,Percentage waited more than 365 days,2024–25,9.1772
NT,Days waited at the 50th percentile,2020–21,32.0
NT,Days waited at the 50th percentile,2021–22,30.0
NT,Days waited at the 50th percentile,2022–23,29.0
NT,Days waited at the 50th percentile,2023–24,36.0
NT,Days waited at the 50th percentile,2024–25,41.0
NT,Days waited at the 90th percentile,2020–21,276.0
NT,Days waited at the 90th percentile,2021–22,288.0
NT,Days waited at the 90th percentile,2022–23,321.0
NT,Days waited at the 90th percentile,2023–24,334.0
NT,Days waited at the 90th percentile,2024–25,328.0
NT,Percentage waited more than 365 days,2020–21,6.7261
NT,Percentage waited more than 365 days,2021–22,7.2408
NT,Percentage waited more than 365 days,2022–23,8.8285
NT,Percentage waited more than 365 days,2023–24,8.4888
NT,Percentage waited more than 365 days,2024–25,8.1642
Qld,Days waited at the 50th percentile,2020–21,42.0
Qld,Days waited at the 50th percentile,2021–22,36.0
Qld,Days waited at the 50th percentile,2022–23,40.0
Qld,Days waited at the 50th percentile,2023–24,40.0
Qld,Days waited at the 50th percentile,2024–25,42.0
Qld,Days waited at the 90th percentile,2020–21,310.0
Qld,Days waited at the 90th percentile,2021–22,268.0
Qld,Days waited at the 90th percentile,2022–23,307.0
Qld,Days waited at the 90th percentile,2023–24,262.0
Qld,Days waited at the 90th percentile,2024–25,273.0
Qld,Percentage waited more than 365 days,2020–21,3.6325
Qld,Percentage waited more than 365 days,2021–22,3.2547
Qld,Percentage waited more than 365 days,2022–23,5.962
Qld,Percentage waited more than 365 days,2023–24,3.8656
Qld,Percentage waited more than 365 days,2024–25,3.4351
SA,Days waited at the 50th percentile,2020–21,50.0
SA,Days waited at the 50th percentile,2021–22,48.0
SA,Days waited at the 50th percentile,2022–23,49.0
SA,Days waited at the 50th percentile,2023–24,47.0
SA,Days waited at the 50th percentile,2024–25,52.0
SA,Days waited at the 90th percentile,2020–21,351.0
SA,Days waited at the 90th percentile,2021–22,339.0
SA,Days waited at the 90th percentile,2022–23,335.0
SA,Days waited at the 90th percentile,2023–24,300.0
SA,Days waited at the 90th percentile,2024–25,317.0
SA,Percentage waited more than 365 days,2020–21,7.6802
SA,Percentage waited more than 365 days,2021–22,6.1791
SA,Percentage waited more than 365 days,2022–23,6.6959
SA,Percentage waited more than 365 days,2023–24,5.1023
SA,Percentage waited more than 365 days,2024–25,6.0128
Tas,Days waited at the 50th percentile,2020–21,65.0
Tas,Days waited at the 50th percentile,2021–22,62.0
Tas,Days waited at the 50th percentile,2022–23,53.0
Tas,Days waited at the 50th percentile,2023–24,48.0
Tas,Days waited at the 50th percentile,2024–25,49.0
Tas,Days waited at the 90th percentile,2020–21,588.0
Tas,Days waited at the 90th percentile,2021–22,413.0
Tas,Days waited at the 90th percentile,2022–23,358.0
Tas,Days waited at the 90th percentile,2023–24,284.0
Tas,Days waited at the 90th percentile,2024–25,257.0
Tas,Percentage waited more than 365 days,2020–21,19.2541
Tas,Percentage waited more than 365 days,2021–22,12.041
Tas,Percentage waited more than 365 days,2022–23,9.6424
Tas,Percentage waited more than 365 days,2023–24,6.2984
Tas,Percentage waited more than 365 days,2024–25,5.018
Vic,Days waited at the 50th percentile,2020–21,28.0
Vic,Days waited at the 50th percentile,2021–22,25.0
Vic,Days waited at the 50th percentile,2022–23,36.0
Vic,Days waited at the 50th percentile,2023–24,33.0
Vic,Days waited at the 50th percentile,2024–25,28.0
Vic,Days waited at the 90th percentile,2020–21,266.0
Vic,Days waited at the 90th percentile,2021–22,254.0
Vic,Days waited at the 90th percentile,2022–23,357.0
Vic,Days waited at the 90th percentile,2023–24,281.0
Vic,Days waited at the 90th percentile,2024–25,205.0
Vic,Percentage waited more than 365 days,2020–21,5.2584
Vic,Percentage waited more than 365 days,2021–22,4.6931
Vic,Percentage waited more than 365 days,2022–23,9.5821
Vic,Percentage waited more than 365 days,2023–24,6.9068
Vic,Percentage waited more than 365 days,2024–25,4.2253
WA,Days waited at the 50th percentile,2020–21,46.0
WA,Days waited at the 50th percentile,2021–22,43.0
WA,Days waited at the 50th percentile,2022–23,51.0
WA,Days waited at the 50th percentile,2023–24,47.0
WA,Days waited at the 50th percentile,2024–25,45.0
WA,Days waited at the 90th percentile,2020–21,279.0
WA,Days waited at the 90th percentile,2021–22,276.0
WA,Days waited at the 90th percentile,2022–23,344.0
WA,Days waited at the 90th percentile,2023–24,276.0
WA,Days waited at the 90th percentile,2024–25,267.0
WA,Percentage waited more than 365 days,2020–21,5.1769
WA,Percentage waited more than 365 days,2021–22,4.929
WA,Percentage waited more than 365 days,2022–23,8.5416
WA,Percentage waited more than 365 days,2023–24,5.8087
WA,Percentage waited more than 365 days,2024–25,5.2838
