Year,funding_source,spending
2013–14,Australian Government,27383.3015067629
2014–15,Australian Government,28953.5324672416
2015–16,Australian Government,34225.1697530816
2016–17,Australian Government,36014.536647593
2017–18,Australian Government,36163.4405282355
2018–19,Australian Government,36936.5411360614
2019–20,Australian Government,39499.5461878874
2020–21,Australian Government,41048.893882767
2021–22,Australian Government,41667.4718956861
2022–23,Australian Government,41444.605909351
2023–24,Australian Government,41168.7834174194
2013–14,State and territory government,33055.8761171273
2014–15,State and territory government,32725.5896155465
2015–16,State and territory government,34491.1128387641
2016–17,State and territory government,34651.8897195056
2017–18,State and territory government,37220.8822027351
2018–19,State and territory government,38988.0538097584
2019–20,State and territory government,41122.5559802106
2020–21,State and territory government,42538.2269145645
2021–22,State and territory government,47800.301523844
2022–23,State and territory government,52019.2556584037
2023–24,State and territory government,53146.4857470518
2013–14,Non-government,16189.5441038841
2014–15,Non-government,17543.6926700027
2015–16,Non-government,16901.5372827637
2016–17,Non-government,17660.1052275719
2017–18,Non-government,18892.2617187159
2018–19,Non-government,19551.9806310527
2019–20,Non-government,17709.8943215475
2020–21,Non-government,19606.6645037297
2021–22,Non-government,18042.6018114555
2022–23,Non-government,19055.2873057816
2023–24,Non-government,19520.8621929915
