Year,funding_source,spending
2013–14,Australian Government,22123.2378894902
2014–15,Australian Government,23725.3544792187
2015–16,Australian Government,26324.5541769534
2016–17,Australian Government,27988.0097140903
2017–18,Australian Government,28207.5698706307
2018–19,Australian Government,29074.3630714301
2019–20,Australian Government,30938.8421403147
2020–21,Australian Government,32400.7962010071
2021–22,Australian Government,33411.2827618143
2022–23,Australian Government,33418.1311392974
2023–24,Australian Government,33140.3750153329
2013–14,State and territory government,32995.3346649826
2014–15,State and territory government,32553.9453792975
2015–16,State and territory government,34280.0725417275
2016–17,State and territory government,34430.713789832
2017–18,State and territory government,37004.9847874994
2018–19,State and territory government,38834.5770068116
2019–20,State and territory government,40897.1052304216
2020–21,State and territory government,42435.5274633475
2021–22,State and territory government,47532.4171661506
2022–23,State and territory government,51750.8437349571
2023–24,State and territory government,52665.1380090137
2013–14,Non-government,5081.9201123118
2014–15,Non-government,5430.66898578797
2015–16,Non-government,4219.98092700339
2016–17,Non-government,4502.80649447258
2017–18,Non-government,5086.43228644926
2018–19,Non-government,5213.86285325505
2019–20,Non-government,4696.60303547091
2020–21,Non-government,5053.23698572478
2021–22,Non-government,4362.43023001934
2022–23,Non-government,4774.42899093761
2023–24,Non-government,4994.23420931556
