year,state,spending
2013–14,nsw,62177.1890846247
2014–15,nsw,64133.4013681651
2015–16,nsw,65046.5070076304
2016–17,nsw,65866.657831468
2017–18,nsw,67822.6269649457
2018–19,nsw,71604.9960382707
2019–20,nsw,72075.7016839817
2020–21,nsw,76367.7846186747
2021–22,nsw,79592.6023212408
2022–23,nsw,78992.1432734052
2023–24,nsw,79977.9152271542
2013–14,vic,47462.3996183947
2014–15,vic,49159.291597491
2015–16,vic,50728.7402710244
2016–17,vic,53014.3290726792
2017–18,vic,55074.6854743146
2018–19,vic,57098.2271382016
2019–20,vic,58830.6981902016
2020–21,vic,64112.9273609028
2021–22,vic,70183.3457424544
2022–23,vic,68992.0026759275
2023–24,vic,67960.4849789833
2013–14,qld,42088.4078337259
2014–15,qld,42707.6820306419
2015–16,qld,44932.0778856136
2016–17,qld,46456.1960177054
2017–18,qld,47425.6982237689
2018–19,qld,47930.0490306551
2019–20,qld,49211.9017380124
2020–21,qld,52500.9800343905
2021–22,qld,55165.7371805687
2022–23,qld,56006.9049279155
2023–24,qld,57357.3624297545
2013–14,wa,21154.7560302517
2014–15,wa,22035.9535779963
2015–16,wa,22641.3448464525
2016–17,wa,22517.6095792098
2017–18,wa,22966.9178008806
2018–19,wa,24554.473784606
2019–20,wa,24488.7696062132
2020–21,wa,26932.4033410086
2021–22,wa,28783.1357470453
2022–23,wa,29325.1185356462
2023–24,wa,29527.5875079443
2013–14,sa,14923.6465338458
2014–15,sa,14952.284266773
2015–16,sa,15332.4525198108
2016–17,sa,18843.0622740296
2017–18,sa,16000.1127258434
2018–19,sa,16355.07440661
2019–20,sa,16731.4301287542
2020–21,sa,17705.7339501516
2021–22,sa,18661.8267269037
2022–23,sa,18830.8765890559
2023–24,sa,19376.1672879
2013–14,tas,4370.93583953826
2014–15,tas,4465.72252936254
2015–16,tas,5047.30367795031
2016–17,tas,5056.0112764254
2017–18,tas,5220.84922299133
2018–19,tas,5606.37201666449
2019–20,tas,5555.42127138041
2020–21,tas,5953.52203099332
2021–22,tas,6464.72733955082
2022–23,tas,6384.09351580947
2023–24,tas,6625.40024467938
2013–14,act,3420.08854920146
2014–15,act,3547.29953411144
2015–16,act,3819.62627081498
2016–17,act,3866.12137653273
2017–18,act,3962.58179981451
2018–19,act,4249.70848267394
2019–20,act,4564.64023633129
2020–21,act,4983.24761060828
2021–22,act,5379.47691141604
2022–23,act,5754.92578963862
2023–24,act,6118.69164171226
2013–14,nt,2641.63234667927
2014–15,nt,2644.87037620955
2015–16,nt,2865.754166548
2016–17,nt,3139.77573626591
2017–18,nt,3161.99274573994
2018–19,nt,2996.69991235071
2019–20,nt,3059.2939114402
2020–21,nt,3139.24882140921
2021–22,nt,3497.39349809659
2022–23,nt,3372.31906509596
2023–24,nt,3542.36234613982
