surgical_specialty,year,value
Cardio-thoracic surgery,2020–21,10993.0
"Otolaryngology, head and neck surgery",2020–21,58776.0
General surgery,2020–21,154677.0
Gynaecology surgery,2020–21,90169.0
Neurosurgery,2020–21,12757.0
Ophthalmology surgery,2020–21,100653.0
Orthopaedic surgery,2020–21,108361.0
Plastic and reconstructive surgery,2020–21,58350.0
Urological surgery,2020–21,114820.0
Vascular surgery,2020–21,17471.0
Paediatric surgery,2020–21,8906.0
Other,2020–21,18667.0
Cardio-thoracic surgery,2021–22,9834.0
"Otolaryngology, head and neck surgery",2021–22,44894.0
General surgery,2021–22,127733.0
Gynaecology surgery,2021–22,75625.0
Neurosurgery,2021–22,10513.0
Ophthalmology surgery,2021–22,81904.0
Orthopaedic surgery,2021–22,83198.0
Plastic and reconstructive surgery,2021–22,53067.0
Urological surgery,2021–22,96644.0
Vascular surgery,2021–22,15252.0
Paediatric surgery,2021–22,8136.0
Other,2021–22,16188.0
Cardio-thoracic surgery,2022–23,11063.0
"Otolaryngology, head and neck surgery",2022–23,56934.0
General surgery,2022–23,149234.0
Gynaecology surgery,2022–23,87021.0
Neurosurgery,2022–23,12531.0
Ophthalmology surgery,2022–23,102122.0
Orthopaedic surgery,2022–23,101442.0
Plastic and reconstructive surgery,2022–23,62161.0
Urological surgery,2022–23,107339.0
Vascular surgery,2022–23,16885.0
Paediatric surgery,2022–23,10205.0
Other,2022–23,18523.0
Cardio-thoracic surgery,2023–24,11710.0
"Otolaryngology, head and neck surgery",2023–24,61720.0
General surgery,2023–24,155124.0
Gynaecology surgery,2023–24,90442.0
Neurosurgery,2023–24,13559.0
Ophthalmology surgery,2023–24,111231.0
Orthopaedic surgery,2023–24,105495.0
Plastic and reconstructive surgery,2023–24,65807.0
Urological surgery,2023–24,113979.0
Vascular surgery,2023–24,19218.0
Paediatric surgery,2023–24,10458.0
Other,2023–24,19723.0
Cardio-thoracic surgery,2024–25,12022.0
"Otolaryngology, head and neck surgery",2024–25,60031.0
General surgery,2024–25,155126.0
Gynaecology surgery,2024–25,94148.0
Neurosurgery,2024–25,12867.0
Ophthalmology surgery,2024–25,117596.0
Orthopaedic surgery,2024–25,103750.0
Plastic and reconstructive surgery,2024–25,67252.0
Urological surgery,2024–25,116931.0
Vascular surgery,2024–25,18750.0
Paediatric surgery,2024–25,10504.0
Other,2024–25,21551.0
